set_name,n,rep,solver,objective,time_ms
layer,52,0,MIP,985,4408
layer,52,1,MIP,1001.000001,12492
layer,52,2,BENDERS,1094,110213
layer,52,3,BENDERS,1106,39928
layer,52,4,BENDERS,1111.017949,3600000
layer,52,5,BENDERS,963.000001,3951
layer,52,6,BENDERS,999,8781
layer,52,7,BENDERS,1011.000001,517735
layer,52,8,BENDERS,1019,17771
layer,52,9,BENDERS,1108.007741,3600000
layer,52,10,BENDERS,986,5756
layer,52,11,BENDERS,1004,8461
layer,52,12,BENDERS,1023,56271
layer,52,13,BENDERS,1111.028811,3600000
layer,52,14,BENDERS,1111,3600000
layer,52,15,BENDERS,964.000001,4209
layer,52,16,BENDERS,1008,15162
layer,52,17,BENDERS,1015,76363
layer,52,18,BENDERS,1019,11952
layer,52,19,BENDERS,1115.001445,3600000
layer,52,20,BENDERS,971,3077
layer,52,21,BENDERS,991.003339,61885
layer,52,22,BENDERS,1010,263806
layer,52,23,BENDERS,1071,14538
layer,52,24,BENDERS,1108.004632,3600000
layer,52,25,BENDERS,968,873
layer,52,26,BENDERS,994.000039,51191
layer,52,27,BENDERS,1004,152744
layer,52,28,BENDERS,1011,14847
layer,52,29,BENDERS,1109.011098,3600000
layer,52,30,BENDERS,970,3157
layer,52,31,BENDERS,1008,24540
layer,52,32,BENDERS,1016,142927
layer,52,33,BENDERS,1038,15174
layer,52,34,BENDERS,1103.022007,3600000
layer,52,35,BENDERS,983,4101
layer,52,36,BENDERS,995.000001,10637
layer,52,37,BENDERS,1087,19963
layer,52,38,BENDERS,1095,15465
layer,52,39,BENDERS,1114.024064,3600000
layer,52,40,BENDERS,949.000001,3785
layer,52,41,BENDERS,992,5268
layer,52,42,BENDERS,1006,260457
layer,52,43,BENDERS,1016,19085
layer,52,44,BENDERS,1109.001393,3600000
layer,52,45,BENDERS,970,2733
layer,52,46,BENDERS,1000,28882
layer,52,47,BENDERS,1018,66284
layer,52,48,BENDERS,1020,21330
layer,52,49,BENDERS,1119.000001,3600000
